split,system,query_id,known_labels,known_e_or_s,reciprocal_rank,recall_at_10,hit_rate_at_10,precision_at_10,judged_at_10,recall_at_40,hit_rate_at_40,precision_at_40,judged_at_40,latency_ms
validation,dense,102820,47,43,0.14285714285714285,0.046511627906976744,1.0,0.2,0.2,0.3023255813953488,1.0,0.325,0.325,64.741
validation,hybrid,102820,47,43,0.25,0.13953488372093023,1.0,0.6,0.6,0.3488372093023256,1.0,0.375,0.375,352.783
validation,bm25,10286,16,13,0.5,0.07692307692307693,1.0,0.1,0.4,0.15384615384615385,1.0,0.05,0.125,6.582
validation,dense,10286,16,13,0.2,0.07692307692307693,1.0,0.1,0.1,0.15384615384615385,1.0,0.05,0.05,39.487
validation,hybrid,10286,16,13,1.0,0.15384615384615385,1.0,0.2,0.2,0.15384615384615385,1.0,0.05,0.125,477.264
validation,bm25,103081,16,4,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.05,5.819
validation,dense,103081,16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.495
validation,hybrid,103081,16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,202.538
validation,bm25,103104,16,9,1.0,0.4444444444444444,1.0,0.4,0.4,0.4444444444444444,1.0,0.1,0.1,43.282
validation,dense,103104,16,9,1.0,0.4444444444444444,1.0,0.4,0.6,0.6666666666666666,1.0,0.15,0.25,38.367
validation,hybrid,103104,16,9,1.0,0.4444444444444444,1.0,0.4,0.5,0.5555555555555556,1.0,0.125,0.15,353.203
validation,bm25,103143,16,7,0.3333333333333333,0.8571428571428571,1.0,0.6,1.0,1.0,1.0,0.175,0.35,5.802
validation,dense,103143,16,7,0.08333333333333333,0.0,0.0,0.0,0.0,0.7142857142857143,1.0,0.125,0.2,31.973
validation,hybrid,103143,16,7,1.0,0.42857142857142855,1.0,0.3,0.4,1.0,1.0,0.175,0.35,428.45
validation,bm25,10316,16,16,1.0,0.4375,1.0,0.7,0.7,0.875,1.0,0.35,0.35,35.43
validation,dense,10316,16,16,1.0,0.375,1.0,0.6,0.6,0.625,1.0,0.25,0.25,37.04
validation,hybrid,10316,16,16,1.0,0.4375,1.0,0.7,0.7,0.875,1.0,0.35,0.35,679.438
validation,bm25,103202,40,26,1.0,0.07692307692307693,1.0,0.2,0.2,0.15384615384615385,1.0,0.1,0.125,12.42
validation,dense,103202,40,26,1.0,0.19230769230769232,1.0,0.5,0.6,0.4230769230769231,1.0,0.275,0.3,39.088
validation,hybrid,103202,40,26,1.0,0.23076923076923078,1.0,0.6,0.6,0.34615384615384615,1.0,0.225,0.25,566.347
validation,bm25,103238,16,13,0.125,0.15384615384615385,1.0,0.2,0.3,0.5384615384615384,1.0,0.175,0.25,12.199
validation,dense,103238,16,13,1.0,0.46153846153846156,1.0,0.6,0.7,0.6923076923076923,1.0,0.225,0.25,35.894
validation,hybrid,103238,16,13,0.5,0.5384615384615384,1.0,0.7,0.8,0.6923076923076923,1.0,0.225,0.25,613.26
validation,bm25,103258,33,33,0.5,0.24242424242424243,1.0,0.8,0.8,0.6363636363636364,1.0,0.525,0.525,35.053
validation,dense,103258,33,33,0.3333333333333333,0.12121212121212122,1.0,0.4,0.4,0.36363636363636365,1.0,0.3,0.3,34.868
validation,hybrid,103258,33,33,0.5,0.12121212121212122,1.0,0.4,0.4,0.6060606060606061,1.0,0.5,0.5,553.841
validation,bm25,103264,16,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.403
validation,dense,103264,16,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.007
validation,hybrid,103264,16,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.275
validation,bm25,103304,16,13,1.0,0.07692307692307693,1.0,0.1,0.1,0.23076923076923078,1.0,0.075,0.075,29.09
validation,dense,103304,16,13,0.1,0.07692307692307693,1.0,0.1,0.1,0.3076923076923077,1.0,0.1,0.1,39.666
validation,hybrid,103304,16,13,0.5,0.23076923076923078,1.0,0.3,0.3,0.23076923076923078,1.0,0.075,0.075,460.972
validation,bm25,103322,39,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.805
validation,dense,103322,39,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.6
validation,hybrid,103322,39,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,801.875
validation,bm25,103329,16,16,1.0,0.25,1.0,0.4,0.4,0.3125,1.0,0.125,0.125,74.615
validation,dense,103329,16,16,0.3333333333333333,0.0625,1.0,0.1,0.1,0.1875,1.0,0.075,0.075,184.778
validation,hybrid,103329,16,16,1.0,0.1875,1.0,0.3,0.3,0.3125,1.0,0.125,0.125,794.418
validation,bm25,103563,40,40,1.0,0.225,1.0,0.9,0.9,0.25,1.0,0.25,0.25,18.352
validation,dense,103563,40,40,1.0,0.1,1.0,0.4,0.4,0.15,1.0,0.15,0.15,72.063
validation,hybrid,103563,40,40,1.0,0.15,1.0,0.6,0.6,0.3,1.0,0.3,0.3,512.873
validation,bm25,10362,41,38,1.0,0.18421052631578946,1.0,0.7,0.7,0.18421052631578946,1.0,0.175,0.175,7.924
validation,dense,10362,41,38,0.041666666666666664,0.0,0.0,0.0,0.0,0.05263157894736842,1.0,0.05,0.05,35.069
validation,hybrid,10362,41,38,1.0,0.15789473684210525,1.0,0.6,0.6,0.18421052631578946,1.0,0.175,0.175,283.9
validation,bm25,103697,14,9,1.0,0.2222222222222222,1.0,0.2,0.3,0.6666666666666666,1.0,0.15,0.175,8.842
validation,dense,103697,14,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.505
validation,hybrid,103697,14,9,0.09090909090909091,0.0,0.0,0.0,0.1,0.3333333333333333,1.0,0.075,0.1,374.269
validation,bm25,103862,16,12,1.0,0.4166666666666667,1.0,0.5,0.5,0.4166666666666667,1.0,0.125,0.125,5.46
validation,dense,103862,16,12,0.3333333333333333,0.08333333333333333,1.0,0.1,0.1,0.25,1.0,0.075,0.075,30.119
validation,hybrid,103862,16,12,1.0,0.4166666666666667,1.0,0.5,0.5,0.4166666666666667,1.0,0.125,0.125,418.987
validation,bm25,103948,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.449
validation,dense,103948,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.205
validation,hybrid,103948,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.753
validation,bm25,104046,16,15,0.3333333333333333,0.13333333333333333,1.0,0.2,0.2,0.3333333333333333,1.0,0.125,0.125,27.143
validation,dense,104046,16,15,0.14285714285714285,0.13333333333333333,1.0,0.2,0.2,0.26666666666666666,1.0,0.1,0.1,57.042
validation,hybrid,104046,16,15,0.5,0.2,1.0,0.3,0.3,0.3333333333333333,1.0,0.125,0.125,418.861
