split,system,query_id,latency_ms
validation,dense,113489,32.612
validation,hybrid,113489,362.721
validation,bm25,113503,12.894
validation,dense,113503,31.498
validation,hybrid,113503,285.248
validation,bm25,113523,19.089
validation,dense,113523,30.385
validation,hybrid,113523,281.720
validation,bm25,113540,12.550
validation,dense,113540,31.723
validation,hybrid,113540,281.420
validation,bm25,113549,31.142
validation,dense,113549,30.395
validation,hybrid,113549,297.306
validation,bm25,113579,8.249
validation,dense,113579,30.730
validation,hybrid,113579,305.970
validation,bm25,113584,12.521
validation,dense,113584,33.990
validation,hybrid,113584,353.395
validation,bm25,113684,6.964
validation,dense,113684,33.465
validation,hybrid,113684,418.287
validation,bm25,113689,7.496
validation,dense,113689,30.035
validation,hybrid,113689,283.849
validation,bm25,113742,16.096
validation,dense,113742,29.671
validation,hybrid,113742,404.600
validation,bm25,113784,49.074
validation,dense,113784,31.085
validation,hybrid,113784,347.414
validation,bm25,113805,16.077
validation,dense,113805,31.807
validation,hybrid,113805,488.668
validation,bm25,11385,4.777
validation,dense,11385,31.446
validation,hybrid,11385,137.089
validation,bm25,113852,7.679
validation,dense,113852,30.836
validation,hybrid,113852,293.237
validation,bm25,113858,6.872
validation,dense,113858,31.805
validation,hybrid,113858,333.774
validation,bm25,113874,5.937
validation,dense,113874,32.394
validation,hybrid,113874,430.187
validation,bm25,113894,6.504
validation,dense,113894,29.716
validation,hybrid,113894,302.892
validation,bm25,113903,17.667
validation,dense,113903,30.725
validation,hybrid,113903,295.077
validation,bm25,113927,28.696
validation,dense,113927,32.349
validation,hybrid,113927,338.450
validation,bm25,114036,7.402
validation,dense,114036,33.445
validation,hybrid,114036,354.094
validation,bm25,114050,7.448
validation,dense,114050,32.357
validation,hybrid,114050,355.689
validation,bm25,114054,35.864
validation,dense,114054,31.344
validation,hybrid,114054,343.116
validation,bm25,114071,6.466
validation,dense,114071,30.602
validation,hybrid,114071,332.276
validation,bm25,114106,7.148
validation,dense,114106,34.674
validation,hybrid,114106,400.674
validation,bm25,114142,7.937
validation,dense,114142,30.377
validation,hybrid,114142,280.612
validation,bm25,114145,6.019
validation,dense,114145,29.939
validation,hybrid,114145,211.866
validation,bm25,114159,7.131
validation,dense,114159,30.138
validation,hybrid,114159,466.065
validation,bm25,114183,39.541
validation,dense,114183,31.847
validation,hybrid,114183,405.090
validation,bm25,114194,15.069
validation,dense,114194,31.763
validation,hybrid,114194,364.364
validation,bm25,11424,10.898
validation,dense,11424,30.593
validation,hybrid,11424,312.176
validation,bm25,11425,23.799
validation,dense,11425,31.069
validation,hybrid,11425,426.915
validation,bm25,114275,12.943
validation,dense,114275,30.824
validation,hybrid,114275,284.276
validation,bm25,114459,7.327
validation,dense,114459,36.867
validation,hybrid,114459,271.761
validation,bm25,114561,6.038
validation,dense,114561,31.051
validation,hybrid,114561,135.602
validation,bm25,11467,5.469
validation,dense,11467,38.169
validation,hybrid,11467,209.683
validation,bm25,114691,29.068
validation,dense,114691,88.043
validation,hybrid,114691,416.985
validation,bm25,114694,5.847
validation,dense,114694,31.242
validation,hybrid,114694,241.868
validation,bm25,114737,7.476
validation,dense,114737,30.668
validation,hybrid,114737,272.726
validation,bm25,114764,5.494
validation,dense,114764,30.036
validation,hybrid,114764,250.344
validation,bm25,114772,4.587
validation,dense,114772,30.432
validation,hybrid,114772,121.006
validation,bm25,114782,16.161
validation,dense,114782,30.586
validation,hybrid,114782,504.196
validation,bm25,114824,6.795
validation,dense,114824,31.042
validation,hybrid,114824,199.484
validation,bm25,114841,8.892
validation,dense,114841,30.443
validation,hybrid,114841,337.772
validation,bm25,114843,12.744
validation,dense,114843,31.009
validation,hybrid,114843,385.301
validation,bm25,114859,6.270
validation,dense,114859,30.711
validation,hybrid,114859,273.078
validation,bm25,114862,7.511
validation,dense,114862,40.498
validation,hybrid,114862,279.571
validation,bm25,114867,29.110
validation,dense,114867,31.145
validation,hybrid,114867,526.039
validation,bm25,114886,10.696
validation,dense,114886,34.183
validation,hybrid,114886,436.867
validation,bm25,11489,6.241
validation,dense,11489,33.795
validation,hybrid,11489,325.603
validation,bm25,114894,7.274
validation,dense,114894,30.516
validation,hybrid,114894,457.712
validation,bm25,114909,11.833
validation,dense,114909,31.361
validation,hybrid,114909,339.209
validation,bm25,114920,13.381
validation,dense,114920,56.132
validation,hybrid,114920,183.057
validation,bm25,114965,6.927
validation,dense,114965,33.087
validation,hybrid,114965,184.279
validation,bm25,114971,25.558
validation,dense,114971,29.738
validation,hybrid,114971,269.055
validation,bm25,115060,20.335
validation,dense,115060,34.800
validation,hybrid,115060,133.757
validation,bm25,115148,28.750
validation,dense,115148,41.325
validation,hybrid,115148,374.305
validation,bm25,115217,5.697
validation,dense,115217,30.865
validation,hybrid,115217,264.528
validation,bm25,115223,5.684
validation,dense,115223,29.130
validation,hybrid,115223,342.260
validation,bm25,115259,6.427
validation,dense,115259,31.173
